assertion_id	source_file	source_sha256	physical_line	source_literal	branch_guard	row_node	column_node	contribution_expression	upstream_symbol
ALLOC_TSTALLOC_06	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	590	                TSTALLOC(VBICcollCXtempPtr,VBICcollCXNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICcollCXNode	VBICtempNode	SMPmakeElt(matrix, VBICcollCXNode, VBICtempNode)	sparse matrix element VBICcollCXtempPtr (temp-col)
ALLOC_TSTALLOC_07	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	591	                TSTALLOC(VBICbaseBItempPtr,VBICbaseBINode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICbaseBINode	VBICtempNode	SMPmakeElt(matrix, VBICbaseBINode, VBICtempNode)	sparse matrix element VBICbaseBItempPtr (temp-col)
ALLOC_TSTALLOC_08	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	592	                TSTALLOC(VBICbaseBXtempPtr,VBICbaseBXNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICbaseBXNode	VBICtempNode	SMPmakeElt(matrix, VBICbaseBXNode, VBICtempNode)	sparse matrix element VBICbaseBXtempPtr (temp-col)
ALLOC_TSTALLOC_09	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	593	                TSTALLOC(VBICbaseBPtempPtr,VBICbaseBPNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICbaseBPNode	VBICtempNode	SMPmakeElt(matrix, VBICbaseBPNode, VBICtempNode)	sparse matrix element VBICbaseBPtempPtr (temp-col)
ALLOC_TSTALLOC_10	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	594	                TSTALLOC(VBICemitEItempPtr,VBICemitEINode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICemitEINode	VBICtempNode	SMPmakeElt(matrix, VBICemitEINode, VBICtempNode)	sparse matrix element VBICemitEItempPtr (temp-col)
ALLOC_TSTALLOC_11	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	595	                TSTALLOC(VBICsubsSItempPtr,VBICsubsSINode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICsubsSINode	VBICtempNode	SMPmakeElt(matrix, VBICsubsSINode, VBICtempNode)	sparse matrix element VBICsubsSItempPtr (temp-col)
ALLOC_TSTALLOC_12	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	596	                TSTALLOC(VBICtempCollPtr,VBICtempNode,VBICcollNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICcollNode	SMPmakeElt(matrix, VBICtempNode, VBICcollNode)	sparse matrix element VBICtempCollPtr (temp-row)
ALLOC_TSTALLOC_13	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	597	                TSTALLOC(VBICtempCollCIPtr,VBICtempNode,VBICcollCINode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICcollCINode	SMPmakeElt(matrix, VBICtempNode, VBICcollCINode)	sparse matrix element VBICtempCollCIPtr (temp-row)
ALLOC_TSTALLOC_14	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	598	                TSTALLOC(VBICtempCollCXPtr,VBICtempNode,VBICcollCXNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICcollCXNode	SMPmakeElt(matrix, VBICtempNode, VBICcollCXNode)	sparse matrix element VBICtempCollCXPtr (temp-row)
ALLOC_TSTALLOC_15	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	599	                TSTALLOC(VBICtempBaseBIPtr,VBICtempNode,VBICbaseBINode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICbaseBINode	SMPmakeElt(matrix, VBICtempNode, VBICbaseBINode)	sparse matrix element VBICtempBaseBIPtr (temp-row)
ALLOC_TSTALLOC_16	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	600	                TSTALLOC(VBICtempBasePtr,VBICtempNode,VBICbaseNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICbaseNode	SMPmakeElt(matrix, VBICtempNode, VBICbaseNode)	sparse matrix element VBICtempBasePtr (temp-row)
ALLOC_TSTALLOC_17	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	601	                TSTALLOC(VBICtempBaseBXPtr,VBICtempNode,VBICbaseBXNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICbaseBXNode	SMPmakeElt(matrix, VBICtempNode, VBICbaseBXNode)	sparse matrix element VBICtempBaseBXPtr (temp-row)
ALLOC_TSTALLOC_18	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	602	                TSTALLOC(VBICtempBaseBPPtr,VBICtempNode,VBICbaseBPNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICbaseBPNode	SMPmakeElt(matrix, VBICtempNode, VBICbaseBPNode)	sparse matrix element VBICtempBaseBPPtr (temp-row)
ALLOC_TSTALLOC_19	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	603	                TSTALLOC(VBICtempEmitPtr,VBICtempNode,VBICemitNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICemitNode	SMPmakeElt(matrix, VBICtempNode, VBICemitNode)	sparse matrix element VBICtempEmitPtr (temp-row)
ALLOC_TSTALLOC_20	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	604	                TSTALLOC(VBICtempEmitEIPtr,VBICtempNode,VBICemitEINode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICemitEINode	SMPmakeElt(matrix, VBICtempNode, VBICemitEINode)	sparse matrix element VBICtempEmitEIPtr (temp-row)
ALLOC_TSTALLOC_21	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	605	                TSTALLOC(VBICtempSubsPtr,VBICtempNode,VBICsubsNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICsubsNode	SMPmakeElt(matrix, VBICtempNode, VBICsubsNode)	sparse matrix element VBICtempSubsPtr (temp-row)
ALLOC_TSTALLOC_22	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	606	                TSTALLOC(VBICtempSubsSIPtr,VBICtempNode,VBICsubsSINode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICsubsSINode	SMPmakeElt(matrix, VBICtempNode, VBICsubsSINode)	sparse matrix element VBICtempSubsSIPtr (temp-row)
ALLOC_TSTALLOC_23	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	607	                TSTALLOC(VBICtempTempPtr,VBICtempNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICtempNode	VBICtempNode	SMPmakeElt(matrix, VBICtempNode, VBICtempNode)	sparse matrix element VBICtempTempPtr (temp-row)
ALLOC_TSTALLOC_24	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	609	                    TSTALLOC(VBICxf1TempPtr  ,VBICxf1Node   ,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICxf1Node	VBICtempNode	SMPmakeElt(matrix, VBICxf1Node, VBICtempNode)	sparse matrix element VBICxf1TempPtr (temp-col)
ALLOC_TSTALLOC_XF1	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	609	                    TSTALLOC(VBICxf1TempPtr  ,VBICxf1Node   ,VBICtempNode);	if (here->VBIC_excessPhase) block (608-611)	VBICxf1Node	VBICtempNode	SMPmakeElt(matrix, VBICxf1Node, VBICtempNode)	sparse matrix element VBICxf1TempPtr (temp-col)
BIND_TERMNAMES	vbic.c	e6dd50fd8f07c2c41cc7d7de86895014b175f75d97768357cde651b5ed47e903	198	char *VBICnames[] = {	device info table	N/A	N/A	char *VBICnames[] = {	terminal name table
BIND_TERM_TEMP	vbic.c	e6dd50fd8f07c2c41cc7d7de86895014b175f75d97768357cde651b5ed47e903	203	    "temp"	VBICnames[] array element	N/A	N/A	"temp"	fifth terminal name
BIND_NSIZE	vbic.c	e6dd50fd8f07c2c41cc7d7de86895014b175f75d97768357cde651b5ed47e903	207	int VBICnSize = NUMELEMS(VBICnames);	device info table	N/A	N/A	int VBICnSize = NUMELEMS(VBICnames);	terminal count = 5
BIND_DEV_TERMS	vbicinit.c	0c535654516c210e2cfd28ec1623544f974d21dd599ed9709a31d7fbfbf670a8	19	        .terms = &VBICnSize,	SPICEdev VBICinfo DEVpublic	N/A	N/A	.terms = &VBICnSize,	terminal count pointer
BIND_DEV_TERMNAMES	vbicinit.c	0c535654516c210e2cfd28ec1623544f974d21dd599ed9709a31d7fbfbf670a8	21	        .termNames = VBICnames,	SPICEdev VBICinfo DEVpublic	N/A	N/A	.termNames = VBICnames,	terminal name table pointer
BIND_PARSE_LOOP	inp2q.c	81022a148f49b69fddf2ee6ed1a0f25e0702e61389adf6c531ba2e621c18f7b4	55	    for (i = 0; ; i++) {	INP2Q node parsing loop	N/A	N/A	for (i = 0; ; i++) {	terminal ordinal counter
BIND_PARSE_INSERT	inp2q.c	81022a148f49b69fddf2ee6ed1a0f25e0702e61389adf6c531ba2e621c18f7b4	71	        INPtermInsert(ckt, &token, tab, &node[i]);	INP2Q node parsing loop	N/A	N/A	INPtermInsert(ckt, &token, tab, &node[i]);	node[i] by ordinal
BIND_PARSE_NUMNODES	inp2q.c	81022a148f49b69fddf2ee6ed1a0f25e0702e61389adf6c531ba2e621c18f7b4	74	    int model_numnodes = model_max_numnodes(thismodel->INPmodType);	after parse loop	N/A	N/A	int model_numnodes = model_max_numnodes(thismodel->INPmodType);	5 for VBIC
BIND_PARSE_TIE	inp2q.c	81022a148f49b69fddf2ee6ed1a0f25e0702e61389adf6c531ba2e621c18f7b4	82	        node[i++] = gnode;	tie-to-ground loop	N/A	N/A	node[i++] = gnode;	missing ports tied to ground
BIND_NEWINSTANCE	inp2q.c	81022a148f49b69fddf2ee6ed1a0f25e0702e61389adf6c531ba2e621c18f7b4	109	    IFC(newInstance, (ckt, mdfast, &fast, name));	after node collection	N/A	N/A	IFC(newInstance, (ckt, mdfast, &fast, name));	device instance
BIND_BINDNODE_CALL	inp2q.c	81022a148f49b69fddf2ee6ed1a0f25e0702e61389adf6c531ba2e621c18f7b4	111	        IFC(bindNode, (ckt, fast, i + 1, node[i]));	instance binding loop	N/A	N/A	IFC(bindNode, (ckt, fast, i + 1, node[i]));	bind by ordinal i+1
BIND_CKT_WRITE	cktbindnode.c	537aed068498f929e6e0bdaff6d15a5c4da273cb1dde29ba3e6506eaddb37e5e	29	        GENnode(instance)[term - 1] = node->number;	CKTbindNode body	N/A	N/A	GENnode(instance)[term - 1] = node->number;	node number into instance node array
BIND_GENNODE	gendefs.h	45fb93fdcdba34607269bf772a0e4278e5eba292ec00ab6b12ad0e6285395172	34	    return (int*)(inst + 1);	generic node accessor	N/A	N/A	return (int*)(inst + 1);	node array base after GENinstance
MODEL_CALL_START	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	680	            iret = vbic_4T_et_cf_fj(p	general load pass after limiter section	N/A	N/A	iret = vbic_4T_et_cf_fj(p	model evaluation call
MODEL_CALL_VRTH	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	681	                ,&Vrth, &Vbei, &Vbex, &Vbci, &Vbep, &Vbcp	model call argument list	N/A	N/A	,&Vrth, &Vbei, &Vbex, &Vbci, &Vbep, &Vbcp	Vrth input/output
MODEL_CALL_IRTH_ITH	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	695	                ,&Qbcp_Vbcp, &Irth, &Irth_Vrth, &Ith, &Ith_Vrth, &Ith_Vbei, &Ith_Vbci	model call argument list	N/A	N/A	,&Qbcp_Vbcp, &Irth, &Irth_Vrth, &Ith, &Ith_Vrth, &Ith_Vbei, &Ith_Vbci	Irth, Ith and first derivatives
MODEL_CALL_ITH_DERIV	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	696	                ,&Ith_Vcei, &Ith_Vbex, &Ith_Vbep, &Ith_Vrs, &Ith_Vbcp, &Ith_Vcep, &Ith_Vrcx	model call argument list	N/A	N/A	,&Ith_Vcei, &Ith_Vbex, &Ith_Vbep, &Ith_Vrs, &Ith_Vbcp, &Ith_Vcep, &Ith_Vrcx	Ith derivatives
MODEL_CALL_ITH_DERIV2	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	697	                ,&Ith_Vrci, &Ith_Vbcx, &Ith_Vrbx, &Ith_Vrbi, &Ith_Vre, &Ith_Vrbp, &Qcth	model call argument list	N/A	N/A	,&Ith_Vrci, &Ith_Vbcx, &Ith_Vrbx, &Ith_Vrbi, &Ith_Vre, &Ith_Vrbp, &Qcth	Ith derivatives + Qcth
MODEL_CALL_QCTH	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	698	                ,&Qcth_Vrth, &SCALE);	model call argument list	N/A	N/A	,&Qcth_Vrth, &SCALE);	Qcth_Vrth + SCALE
MODEL_SIG_TAIL	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	1494	    ,double *Qbcp_Vbcp, double *Irth, double *Irth_Vrth, double *Ith, double *Ith_Vrth, double *Ith_Vbei, double *Ith_Vbci	vbic_4T_et_cf_fj signature	N/A	N/A	,double *Qbcp_Vbcp, double *Irth, double *Irth_Vrth, double *Ith, double *Ith_Vrth, double *Ith_Vbei, double *Ith_Vbci	formal parameter list
MODEL_SIG_TAIL2	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	1495	    ,double *Ith_Vcei, double *Ith_Vbex, double *Ith_Vbep, double *Ith_Vrs, double *Ith_Vbcp, double *Ith_Vcep, double *Ith_Vrcx	vbic_4T_et_cf_fj signature	N/A	N/A	,double *Ith_Vcei, double *Ith_Vbex, double *Ith_Vbep, double *Ith_Vrs, double *Ith_Vbcp, double *Ith_Vcep, double *Ith_Vrcx	formal parameter list
MODEL_SIG_TAIL3	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	1496	    ,double *Ith_Vrci, double *Ith_Vbcx, double *Ith_Vrbx, double *Ith_Vrbi, double *Ith_Vre, double *Ith_Vrbp, double *Qcth	vbic_4T_et_cf_fj signature	N/A	N/A	,double *Ith_Vrci, double *Ith_Vbcx, double *Ith_Vrbx, double *Ith_Vrbi, double *Ith_Vre, double *Ith_Vrbp, double *Qcth	formal parameter list
MODEL_SIG_TAIL4	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	1497	    ,double *Qcth_Vrth, double *SCALE)	vbic_4T_et_cf_fj signature	N/A	N/A	,double *Qcth_Vrth, double *SCALE)	formal parameter list close
MODEL_ITH_EXPR	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	3931	    (*Ith)=-((*Ibe)*(*Vbei)+(*Ibc)*(*Vbci)+((*Itzf)-(*Itzr))*(*Vcei)+(*Ibex)*(*Vbex)+(*Ibep)*(*Vbep)+(*Irs)*(*Vrs)+(*Ibcp)*(*Vbcp)+(*Iccp)*(*Vcep)+(*Ircx)*(*Vrcx)+(*Irci)*(*Vrci)+(*Irbx)*(*Vrbx)+(*Irbi)*(*Vrbi)+(*Ire)*(*Vre)+(*Irbp)*(*Vrbp));	model function thermal current	N/A	N/A	(*Ith)=-((*Ibe)*(*Vbei)+(*Ibc)*(*Vbci)+((*Itzf)-(*Itzr))*(*Vcei)+(*Ibex)*(*Vbex)+(*Ibep)*(*Vbep)+(*Irs)*(*Vrs)+(*Ibcp)*(*Vbcp)+(*Iccp)*(*Vcep)+(*Ircx)*(*Vrcx)+(*Irci)*(*Vrci)+(*Irbx)*(*Vrbx)+(*Irbi)*(*Vrbi)+(*Ire)*(*Vre)+(*Irbp)*(*Vrbp));	dissipated power expression
MODEL_IRTH_P83	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	4002	    if(p[83]>0.0){	model function thermal resistance	N/A	N/A	if(p[83]>0.0){	p[83] = RTH
MODEL_IRTH_ASSIGN	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	4003	        (*Irth)=(*Vrth)/p[83];	if(p[83]>0.0) branch	N/A	N/A	(*Irth)=(*Vrth)/p[83];	Vrth / RTH
MODEL_IRTHVRTH_ASSIGN	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	4004	        *Irth_Vrth=1.0/p[83];	if(p[83]>0.0) branch	N/A	N/A	*Irth_Vrth=1.0/p[83];	1 / RTH
MODEL_QCTH_P84	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	4009	    (*Qcth)=(*Vrth)*p[84];	model function thermal capacitance	N/A	N/A	(*Qcth)=(*Vrth)*p[84];	Vrth * CTH
MODEL_QCTHVRTH_P84	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	4010	    *Qcth_Vrth=p[84];	model function thermal capacitance	N/A	N/A	*Qcth_Vrth=p[84];	CTH
MODEL_POWER	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	700	            here->VBICpower = Ith;	after model call	N/A	N/A	here->VBICpower = Ith;	Ith stored as device power
PARAM_RTH_NAME	vbic.c	e6dd50fd8f07c2c41cc7d7de86895014b175f75d97768357cde651b5ed47e903	158	 IOP("rth",   VBIC_MOD_RTH,   IF_REAL, "Thermal resistance"),	model parameter table	N/A	N/A	IOP("rth",   VBIC_MOD_RTH,   IF_REAL, "Thermal resistance"),	VBIC_MOD_RTH
PARAM_CTH_NAME	vbic.c	e6dd50fd8f07c2c41cc7d7de86895014b175f75d97768357cde651b5ed47e903	159	 IOP("cth",   VBIC_MOD_CTH,   IF_REAL, "Thermal capacitance"),	model parameter table	N/A	N/A	IOP("cth",   VBIC_MOD_CTH,   IF_REAL, "Thermal capacitance"),	VBIC_MOD_CTH
PARAM_RTH_ENUM	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	892	    VBIC_MOD_RTH,	model parameter enum	N/A	N/A	VBIC_MOD_RTH,	parameter index
PARAM_CTH_ENUM	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	893	    VBIC_MOD_CTH,	model parameter enum	N/A	N/A	VBIC_MOD_CTH,	parameter index
PARAM_RTH_PARSE	vbicmpar.c	348a327e07c30585fbce0ad6c5323727d8b6c638b8ea060484181e6bd0df7cbc	392	        case VBIC_MOD_RTH:	VBICmParam switch	N/A	N/A	case VBIC_MOD_RTH:	parameter parse
PARAM_RTH_STORE	vbicmpar.c	348a327e07c30585fbce0ad6c5323727d8b6c638b8ea060484181e6bd0df7cbc	393	            mods->VBICthermalResist = value->rValue;	case VBIC_MOD_RTH	N/A	N/A	mods->VBICthermalResist = value->rValue;	VBICthermalResist
PARAM_CTH_STORE	vbicmpar.c	348a327e07c30585fbce0ad6c5323727d8b6c638b8ea060484181e6bd0df7cbc	397	            mods->VBICthermalCapacitance = value->rValue;	case VBIC_MOD_CTH	N/A	N/A	mods->VBICthermalCapacitance = value->rValue;	VBICthermalCapacitance
PARAM_P83_PASS	vbictemp.c	8b9398ba2396e54025780d7f88ff786a65e6044e7e6cd5a13d7480ca292d2015	151	        p[83]=pnom[83];	temperature-scaled parameter copy	N/A	N/A	p[83]=pnom[83];	p[83] = nominal RTH
PARAM_P84_PASS	vbictemp.c	8b9398ba2396e54025780d7f88ff786a65e6044e7e6cd5a13d7480ca292d2015	152	        p[84]=pnom[84];	temperature-scaled parameter copy	N/A	N/A	p[84]=pnom[84];	p[84] = nominal CTH
CTH_INTEGRATE	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	897	                    if (here->VBIC_selfheat)	if (here->VBIC_selfheat) transient integration block	N/A	N/A	if (here->VBIC_selfheat)	selfheat guard
CTH_INTEGRATE_CALL	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	899	                        error = NIintegrate(ckt,&geq,&ceq,Qcth_Vrth,here->VBICqcth);	selfheat block in transient integration	N/A	N/A	error = NIintegrate(ckt,&geq,&ceq,Qcth_Vrth,here->VBICqcth);	Qcth_Vrth integrated
CTH_ICTHVRTH	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	901	                        Icth_Vrth = geq;	after NIintegrate	N/A	N/A	Icth_Vrth = geq;	geq (integrated conductance)
CTH_ICTH	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	902	                        Icth = *(ckt->CKTstate0 + here->VBICcqcth);	after NIintegrate	N/A	N/A	Icth = *(ckt->CKTstate0 + here->VBICcqcth);	state0 thermal-cap current
CTH_STATE_WB	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	1036	                *(ckt->CKTstate0 + here->VBICcqcth)     = Icth;	if (here->VBIC_selfheat) state writeback	N/A	N/A	*(ckt->CKTstate0 + here->VBICcqcth)     = Icth;	Icth writeback
CTH_STATE_WB2	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	1037	                *(ckt->CKTstate0 + here->VBICicth_Vrth) = Icth_Vrth;	if (here->VBIC_selfheat) state writeback	N/A	N/A	*(ckt->CKTstate0 + here->VBICicth_Vrth) = Icth_Vrth;	Icth_Vrth writeback
CTH_PRED_STATE	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	386	                        *(ckt->CKTstate0 + here->VBICqcth) =	predictor state copy	N/A	N/A	*(ckt->CKTstate0 + here->VBICqcth) =	state0 qcth predictor copy (cont. line 387)
STAMP_GUARD_OPEN	vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	1297	            if (here->VBIC_selfheat) {	load pass selfheat stamping block	N/A	N/A	if (here->VBIC_selfheat) {	selfheat flag
