assertion_id	source_file	source_sha256	physical_line	source_literal	guard_containment	category	observed_values	upstream_v4_assertion	provenance_class
ADD_019	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	758	                    fprintf(stderr, "  group 07 Ibcp*Vbcp        | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 07 Ibcp*Vbcp        | cur %a (isfinite=%d) | volt %a (i	added line 19 of 64	added_statement
ADD_020	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	759	                            Ibcp, isfinite(Ibcp) ? 1 : 0, Vbcp, isfinite(Vbcp) ? 1 : 0, Ibcp*Vbcp, isfinite(Ibcp*Vbcp) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Ibcp, isfinite(Ibcp) ? 1 : 0, Vbcp, isfinite(Vbcp) ? 1 : 0, Ibcp*Vbcp, isfinite(	added line 20 of 64	added_statement
ADD_021	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	760	                    fprintf(stderr, "  group 08 Iccp*Vcep        | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 08 Iccp*Vcep        | cur %a (isfinite=%d) | volt %a (i	added line 21 of 64	added_statement
ADD_022	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	761	                            Iccp, isfinite(Iccp) ? 1 : 0, Vcep, isfinite(Vcep) ? 1 : 0, Iccp*Vcep, isfinite(Iccp*Vcep) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Iccp, isfinite(Iccp) ? 1 : 0, Vcep, isfinite(Vcep) ? 1 : 0, Iccp*Vcep, isfinite(	added line 22 of 64	added_statement
ADD_023	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	762	                    fprintf(stderr, "  group 09 Ircx*Vrcx        | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 09 Ircx*Vrcx        | cur %a (isfinite=%d) | volt %a (i	added line 23 of 64	added_statement
ADD_024	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	763	                            Ircx, isfinite(Ircx) ? 1 : 0, Vrcx, isfinite(Vrcx) ? 1 : 0, Ircx*Vrcx, isfinite(Ircx*Vrcx) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Ircx, isfinite(Ircx) ? 1 : 0, Vrcx, isfinite(Vrcx) ? 1 : 0, Ircx*Vrcx, isfinite(	added line 24 of 64	added_statement
ADD_025	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	764	                    fprintf(stderr, "  group 10 Irci*Vrci        | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 10 Irci*Vrci        | cur %a (isfinite=%d) | volt %a (i	added line 25 of 64	added_statement
ADD_026	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	765	                            Irci, isfinite(Irci) ? 1 : 0, Vrci, isfinite(Vrci) ? 1 : 0, Irci*Vrci, isfinite(Irci*Vrci) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Irci, isfinite(Irci) ? 1 : 0, Vrci, isfinite(Vrci) ? 1 : 0, Irci*Vrci, isfinite(	added line 26 of 64	added_statement
ADD_027	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	766	                    fprintf(stderr, "  group 11 Irbx*Vrbx        | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 11 Irbx*Vrbx        | cur %a (isfinite=%d) | volt %a (i	added line 27 of 64	added_statement
ADD_028	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	767	                            Irbx, isfinite(Irbx) ? 1 : 0, Vrbx, isfinite(Vrbx) ? 1 : 0, Irbx*Vrbx, isfinite(Irbx*Vrbx) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Irbx, isfinite(Irbx) ? 1 : 0, Vrbx, isfinite(Vrbx) ? 1 : 0, Irbx*Vrbx, isfinite(	added line 28 of 64	added_statement
ADD_029	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	768	                    fprintf(stderr, "  group 12 Irbi*Vrbi        | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 12 Irbi*Vrbi        | cur %a (isfinite=%d) | volt %a (i	added line 29 of 64	added_statement
ADD_030	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	769	                            Irbi, isfinite(Irbi) ? 1 : 0, Vrbi, isfinite(Vrbi) ? 1 : 0, Irbi*Vrbi, isfinite(Irbi*Vrbi) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Irbi, isfinite(Irbi) ? 1 : 0, Vrbi, isfinite(Vrbi) ? 1 : 0, Irbi*Vrbi, isfinite(	added line 30 of 64	added_statement
ADD_031	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	770	                    fprintf(stderr, "  group 13 Ire*Vre          | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 13 Ire*Vre          | cur %a (isfinite=%d) | volt %a (i	added line 31 of 64	added_statement
ADD_032	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	771	                            Ire, isfinite(Ire) ? 1 : 0, Vre, isfinite(Vre) ? 1 : 0, Ire*Vre, isfinite(Ire*Vre) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Ire, isfinite(Ire) ? 1 : 0, Vre, isfinite(Vre) ? 1 : 0, Ire*Vre, isfinite(Ire*Vr	added line 32 of 64	added_statement
ADD_033	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	772	                    fprintf(stderr, "  group 14 Irbp*Vrbp        | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 14 Irbp*Vrbp        | cur %a (isfinite=%d) | volt %a (i	added line 33 of 64	added_statement
ADD_034	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	773	                            Irbp, isfinite(Irbp) ? 1 : 0, Vrbp, isfinite(Vrbp) ? 1 : 0, Irbp*Vrbp, isfinite(Irbp*Vrbp) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Irbp, isfinite(Irbp) ? 1 : 0, Vrbp, isfinite(Vrbp) ? 1 : 0, Irbp*Vrbp, isfinite(	added line 34 of 64	added_statement
ADD_035	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	774	                    double ith_term_cum00 = -(Ibe*Vbei);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum00 = -(Ibe*Vbei);	added line 35 of 64	added_statement
ADD_036	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	775	                    double ith_term_cum01 = ith_term_cum00 -(Ibc*Vbci);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum01 = ith_term_cum00 -(Ibc*Vbci);	added line 36 of 64	added_statement
ADD_037	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	776	                    double ith_term_cum02 = ith_term_cum01 -((Itzf-Itzr)*Vcei);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum02 = ith_term_cum01 -((Itzf-Itzr)*Vcei);	added line 37 of 64	added_statement
ADD_038	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	777	                    double ith_term_cum03 = ith_term_cum02 -(Ibex*Vbex);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum03 = ith_term_cum02 -(Ibex*Vbex);	added line 38 of 64	added_statement
ADD_039	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	778	                    double ith_term_cum04 = ith_term_cum03 -(Ibep*Vbep);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum04 = ith_term_cum03 -(Ibep*Vbep);	added line 39 of 64	added_statement
ADD_040	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	779	                    double ith_term_cum05 = ith_term_cum04 -(Irs*Vrs);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum05 = ith_term_cum04 -(Irs*Vrs);	added line 40 of 64	added_statement
ADD_041	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	780	                    double ith_term_cum06 = ith_term_cum05 -(Ibcp*Vbcp);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum06 = ith_term_cum05 -(Ibcp*Vbcp);	added line 41 of 64	added_statement
ADD_042	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	781	                    double ith_term_cum07 = ith_term_cum06 -(Iccp*Vcep);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum07 = ith_term_cum06 -(Iccp*Vcep);	added line 42 of 64	added_statement
ADD_043	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	782	                    double ith_term_cum08 = ith_term_cum07 -(Ircx*Vrcx);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum08 = ith_term_cum07 -(Ircx*Vrcx);	added line 43 of 64	added_statement
ADD_044	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	783	                    double ith_term_cum09 = ith_term_cum08 -(Irci*Vrci);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum09 = ith_term_cum08 -(Irci*Vrci);	added line 44 of 64	added_statement
ADD_045	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	784	                    double ith_term_cum10 = ith_term_cum09 -(Irbx*Vrbx);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum10 = ith_term_cum09 -(Irbx*Vrbx);	added line 45 of 64	added_statement
ADD_046	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	785	                    double ith_term_cum11 = ith_term_cum10 -(Irbi*Vrbi);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum11 = ith_term_cum10 -(Irbi*Vrbi);	added line 46 of 64	added_statement
ADD_047	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	786	                    double ith_term_cum12 = ith_term_cum11 -(Ire*Vre);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum12 = ith_term_cum11 -(Ire*Vre);	added line 47 of 64	added_statement
ADD_048	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	787	                    double ith_term_cum13 = ith_term_cum12 -(Irbp*Vrbp);	trigger-contained post-scale algebraic reconstruction local (declaration-initialization)	diagnostic_local	double ith_term_cum13 = ith_term_cum12 -(Irbp*Vrbp);	added line 48 of 64	added_statement
ADD_049	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	788	                    fprintf(stderr, "  cum 00 -(Ibe*Vbei)                  = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum00, isfinite(ith_term_cum00) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 00 -(Ibe*Vbei)                  = %a (isfinite=%d) [post-	added line 49 of 64	added_statement
ADD_050	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	789	                    fprintf(stderr, "  cum 01 -(Ibc*Vbci)                          = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum01, isfinite(ith_term_cum01) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 01 -(Ibc*Vbci)                          = %a (isfinite=%d	added line 50 of 64	added_statement
ADD_051	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	790	                    fprintf(stderr, "  cum 02 -((Itzf-Itzr)*Vcei)                  = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum02, isfinite(ith_term_cum02) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 02 -((Itzf-Itzr)*Vcei)                  = %a (isfinite=%d	added line 51 of 64	added_statement
ADD_052	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	791	                    fprintf(stderr, "  cum 03 -(Ibex*Vbex)                         = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum03, isfinite(ith_term_cum03) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 03 -(Ibex*Vbex)                         = %a (isfinite=%d	added line 52 of 64	added_statement
ADD_053	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	792	                    fprintf(stderr, "  cum 04 -(Ibep*Vbep)                         = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum04, isfinite(ith_term_cum04) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 04 -(Ibep*Vbep)                         = %a (isfinite=%d	added line 53 of 64	added_statement
ADD_054	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	793	                    fprintf(stderr, "  cum 05 -(Irs*Vrs)                           = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum05, isfinite(ith_term_cum05) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 05 -(Irs*Vrs)                           = %a (isfinite=%d	added line 54 of 64	added_statement
ADD_055	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	794	                    fprintf(stderr, "  cum 06 -(Ibcp*Vbcp)                         = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum06, isfinite(ith_term_cum06) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 06 -(Ibcp*Vbcp)                         = %a (isfinite=%d	added line 55 of 64	added_statement
ADD_056	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	795	                    fprintf(stderr, "  cum 07 -(Iccp*Vcep)                         = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum07, isfinite(ith_term_cum07) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 07 -(Iccp*Vcep)                         = %a (isfinite=%d	added line 56 of 64	added_statement
ADD_057	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	796	                    fprintf(stderr, "  cum 08 -(Ircx*Vrcx)                         = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum08, isfinite(ith_term_cum08) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 08 -(Ircx*Vrcx)                         = %a (isfinite=%d	added line 57 of 64	added_statement
ADD_058	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	797	                    fprintf(stderr, "  cum 09 -(Irci*Vrci)                         = %a (isfinite=%d) [post-scale algebraic reconstruction from returned operands; not an exact floating-point replay]\n", ith_term_cum09, isfinite(ith_term_cum09) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  cum 09 -(Irci*Vrci)                         = %a (isfinite=%d	added line 58 of 64	added_statement
