artifact_id	file_name	byte_size	sha256_digest	publication_status	description
ith_term_v2_patch	NGSPICE46-VBIC-ITH-TERM-DIAGNOSTIC-V2.patch	9634	f79505a3cb2b045fbd66c3bf15c90af04c4841542a6c05f700b1168254b4abf4	published	P4 patch.
ith_term_audit_v2	NGSPICE46-VBIC-ITH-TERM-DIAGNOSTIC-AUDIT-V2.tsv	43952	09e6a32e4f77bb9ce6b2f6104deffa02cf6046f64577935f03d3aff140a6b78a	published_current	Current P4 audit.
ith_term_v2_source	vbicload_ith_term_diag_v2.c	211100	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	published	P4 output and P5 base.
ibe_v2_patch	NGSPICE46-VBIC-IBE-SOURCE-DIAGNOSTIC-V2.patch	3872	3699f89330327627b1b9c50ecae4c7fc7c8fb6d60ef831d57967cdd65634c4b2	published	P5 patch.
ibe_audit_v4	NGSPICE46-VBIC-IBE-SOURCE-DIAGNOSTIC-AUDIT-V4.tsv	12633	8f39abcde7166071a18d36321ffd3250efaff3d657afef1bdf46dca5e81061e4	published_current	Current P5 audit.
ibe_v2_source	vbicload_ibe_source_diag_v2.c	212990	2999b2afa9a34fdd501f02a2312be2b98f5f5f57c9d7bd0637321a61aa581075	published	P5 output and P6 base.
temp_scale_v1_patch	NGSPICE46-VBIC-TEMP-SCALE-DIAGNOSTIC-V1.patch	1663	057d991b8a24e909031dec51378389b6c47fa46d7a611cd2ffa275d498d10f92	published	P6 patch.
temp_scale_audit_v1	NGSPICE46-VBIC-TEMP-SCALE-DIAGNOSTIC-AUDIT-V1.tsv	8931	d47add73bf8b903c79e3f78f9e4ec5a9118b9b196bf51ae5dbfadd3019fd5616	published_current	Current P6 audit.
temp_scale_v1_source	vbicload_temp_scale_diag_v1.c	214339	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	published	P6 output and P7 base.
upstream_trace_v1	NGSPICE46-VBIC-VRTH-UPSTREAM-TRACE-AUDIT-V1.tsv	7400	b6bc4136619bba31c080c15381a177f5ee14eed0124c6274dc20de253c2e3ded	published_superseded	Rejected post-write observation plan.
upstream_trace_v2	NGSPICE46-VBIC-VRTH-UPSTREAM-TRACE-AUDIT-V2.tsv	10908	62b603d08040806b4ca1208ec70682366b15a19f8077a9c0e8ff305d4cb10a69	published_current	Revised pre-write transition observation plan.
transition_v1_patch	NGSPICE46-VBIC-VRTH-TRANSITION-DIAGNOSTIC-V1.patch	1905	b57d3ff0d1fcceca97c48c62e5a1c992110a10997db4f564ad5e7a08a9eba16d	published	P7 patch; 13 additions no deletions.
transition_audit_v3	NGSPICE46-VBIC-VRTH-TRANSITION-DIAGNOSTIC-AUDIT-V3.tsv	10252	41a6c1ede4f401b6a728cd77a6bbef73fdee59ae70978a45ca0cfb65de9b76c8	published_v1_history	Audit of V1 source and marker boundary.
transition_v1_source	vbicload_vrth_transition_diag_v1.c	215846	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	published_superseded	P7 output and P8 base; superseded due marker format warning.
transition_v2_patch	NGSPICE46-VBIC-VRTH-TRANSITION-DIAGNOSTIC-V2.patch	1507	342e2a04a4a26cc940c6798397e8d8cd53f6cab27c58cad8960f67fc5e68726a	published	P8 one-conversion repair patch.
transition_audit_v4	NGSPICE46-VBIC-VRTH-TRANSITION-DIAGNOSTIC-AUDIT-V4.tsv	6385	84e42b2eb3f1960c518a91298b2e0bcfba41ea18b960cfdba4f87a11c2481201	published_superseded	Initial V2 repair audit retained as correction history.
transition_audit_v5	NGSPICE46-VBIC-VRTH-TRANSITION-DIAGNOSTIC-AUDIT-V5.tsv	7568	64448bd98430f4e113bafc049214d9ba781ba0e3abed872c57d0c9971eb6520a	published_current	Corrected current P8 audit.
transition_v2_source	vbicload_vrth_transition_diag_v2.c	215847	59d875679da675ef8daedbd151e91b39b27a13ae197530af40650c62e3e75172	published	P8 output, build source, and executed-binary source.
executed_binary	ngspice	8046160	7cdeb7f97c5744b8c453f52c404870df946e67657ff07537d63979928faca5c5	identity_only	Not published.
