block	port	direction	source_sha256	source_line	proposed_top_net	disposition	literal_evidence
p1_comparator	CLK_OUT_DIV	out	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	15	CLK_OUT_DIV	EXTERNAL_PORT	C {devices/opin.sym} 500 80 0 0 {name=p3 lab=CLK_OUT_DIV}
p1_comparator	IN_P	in	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	16	noise_amp_p	INTERNAL_ARCHITECTURE_MATCH	C {devices/ipin.sym} -300 -80 0 0 {name=p4 lab=IN_P}
p1_comparator	IN_N	in	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	17	noise_amp_n	INTERNAL_ARCHITECTURE_MATCH	C {devices/ipin.sym} -300 -20 0 0 {name=p5 lab=IN_N}
p1_comparator	CLK_P	in	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	18	CLK_P	EXTERNAL_PORT	C {devices/ipin.sym} -300 40 0 0 {name=p6 lab=CLK_P}
p1_comparator	CLK_N	in	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	19	CLK_N	EXTERNAL_PORT	C {devices/ipin.sym} -300 100 0 0 {name=p7 lab=CLK_N}
p1_comparator	TRIM_P	in	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	20	TRIM_P	EXTERNAL_PORT	C {devices/ipin.sym} -300 160 0 0 {name=p11 lab=TRIM_P}
p1_comparator	TRIM_N	in	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	21	TRIM_N	EXTERNAL_PORT	C {devices/ipin.sym} -300 220 0 0 {name=p12 lab=TRIM_N}
p1_comparator	VCC_HBT	inout	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	22	COMPARATOR_VCC_HBT	EXTERNAL_PORT	C {devices/iopin.sym} 0 -220 0 0 {name=p8 lab=VCC_HBT}
p1_comparator	VDD	inout	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	23	VDD	EXTERNAL_PORT	C {devices/iopin.sym} 100 -220 0 0 {name=p9 lab=VDD}
p1_comparator	VSS	inout	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	24	COMPARATOR_VSS	EXTERNAL_PORT	C {devices/iopin.sym} 0 280 0 0 {name=p10 lab=VSS}
