phase	attempt	disposition	published_evidence
eqmap_runtime	V1	manifest-header parser created empty retained run directories; no executable invocation and no final log	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-RUNTIME-V2.log
stamp_delta_patch	V1	rejected: malformed hunk counts; never applied	evidence/stamp-delta/source/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V1-AUDIT.log
stamp_delta_patch	V2	rejected: count-correct but not exact-event gated and records lacked id/iterno	evidence/stamp-delta/source/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V2-AUDIT.log
stamp_delta_patch	V3	rejected: hand-authored hunk headers mismatched and its checker looped; no V3 audit exists	evidence/stamp-delta/source/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V3.patch
stamp_delta_patch	V4	accepted source shape and syntax, but its non-NULL-lifetime claim was false; corrected by V5	evidence/stamp-delta/source/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V4-AUDIT.log
stamp_delta_object	V1	reserved: report metadata mislabeled the first lines; Object V2 retained with corrections	evidence/stamp-delta/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V5-OBJECT-V2.log
stamp_delta_link	V4	reserved: experiment VBIC archive order was wrong	evidence/stamp-delta/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V5-LINK-V4-DISPOSITION-CORRECTION-V1.log
stamp_delta_runtime	V1	mixed-layout experiment exited 139 before STAMPDELTA emission; no retry selected as evidence value	evidence/stamp-delta/runtime/mixed-abi-v1-experiment/experiment.stderr
stamp_delta_runtime	V2	second mixed-layout experiment also exited 139; the duplicate run exceeded the no-retry boundary and is preserved	evidence/stamp-delta/runtime/mixed-abi-v2-experiment/experiment.stderr
stamp_delta_abi_audit	V3	original report contained raw-PC, source-guard, and inventory-count errors; retained with correction	evidence/stamp-delta/analysis/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V5-ABI-AUDIT-V3-CORRECTION-V1.log
full_rebuild	V1-V3	reserved: report bug, no-op copied artifacts, and incomplete target; no publishable final logs exist	evidence/stamp-delta/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V5-FULL-REBUILD-V4.log
full_rebuild	V4	accepted build evidence after command and warning-stream correction	evidence/stamp-delta/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V5-FULL-REBUILD-V4-CORRECTION-V1.log
stamp_delta_interpretation	V1	reserved: overclaimed event-local sole RHS ownership; preserved with correction and superseded by V2	evidence/stamp-delta/analysis/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-STAMP-DELTA-PATCH-V5-INTERPRETATION-V1-CORRECTION-V1.log
