assertion_id	file	hunk	record_class	base_line	mod_line	literal_or_digest	disposition
R18_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	context	88	98	#ifdef CIDER	accepted
R19_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	context	89	99	void SMPcSolveForCIDER (SMPmatrix *, double [], double [], double [], double []) ;	accepted
R01_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	-	header			--- a/src/maths/KLU/klusmp.c	accepted
R02_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	-	header			+++ b/src/maths/KLU/klusmp.c	accepted
R03_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	hunk	2007	2007	@@ -2007,3 +2007,209 @@	accepted
R04_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	context	2007	2007	    }	accepted
R05_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	context	2008	2008	}	accepted
R06_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	context	2009	2009		accepted
R07_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2010		accepted
R08_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2011		accepted
R09_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2012	/* ---- [MNA_SNAPSHOT] read-only diagnostic snapshot helper. ----	accepted
R10_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2013	 * Declared in ngspice/smpdefs.h. Emits to stderr with %a precision;	accepted
R11_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2014	 * synchronous, once-only by the caller; no writes to the matrix, RHS, or	accepted
R12_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2015	 * circuit state; no element creation; no arithmetic recomputation (stored	accepted
R13_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2016	 * values are emitted as-is). size is the largest valid equation index	accepted
R14_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2017	 * (ckt->CKTmaxEqNum - 1): indices 1..size inclusive are emitted and the	accepted
R15_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2018	 * same bound validates external row/column identities and vector_expected.	accepted
R16_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2019	 * Every BEGIN/END/UNSUPPORTED/ABORT/GUARD record carries the full event	accepted
R17_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2020	 * provenance (snapshot id, tnode, iterno, time, mode, backend, phase);	accepted
R18_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2021	 * every structurally valid stored entry and every RHS/solution index is	accepted
R19_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2022	 * emitted with an explicit finite=0/1 flag and counted observed. The	accepted
R20_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2023	 * sparse pre-factor enumeration is TWO-PASS: a read-only validation/count	accepted
R21_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2024	 * pass over all safely traversable FirstInCol/NextInCol chains computes	accepted
R22_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2025	 * the EXACT full stored-entry count (entries_expected) and records range	accepted
R23_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2026	 * guards WITHOUT indexing an invalid map position; if any structural/	accepted
R24_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2027	 * range guard fired, NO entry/vector payload is emitted (status=incomplete)	accepted
R25_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2028	 * and only a clean pass may perform the second emit pass. Return codes:	accepted
R26_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2029	 *   0 = MNA_SNAP_OK        structural completeness (status=complete)	accepted
R27_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2030	 *   1 = MNA_SNAP_ARG       NULL/negative argument or size <= 0	accepted
R28_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2031	 *   2 = MNA_SNAP_BACKEND   backend_flag != Matrix->CKTkluMODE	accepted
R29_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2032	 *   3 = MNA_SNAP_PHASE     phase not exactly prefactor/postsolve/abort	accepted
R30_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2033	 *   4 = MNA_SNAP_UNSUP     KLU prefactor unsupported (fail closed)	accepted
R31_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2034	 *   5 = MNA_SNAP_STRUCT    sparse structure/map guard	accepted
R32_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2035	 *   6 = MNA_SNAP_RANGE     internal/external range guard	accepted
R33_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2036	 *   7 = MNA_SNAP_PARTIAL   KLU postsolve vector (status=partial)	accepted
R34_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2037	 *   8 = MNA_SNAP_ABORT     keyed iteration abandoned before solve	accepted
R35_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2038	 * The sparse branch walks the private MatrixFrame column chains INSIDE	accepted
R36_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2039	 * the SMP layer and maps internal indices through	accepted
R37_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2040	 * IntToExtRowMap/IntToExtColMap. The KLU pre-factor phase fails closed:	accepted
R38_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2041	 * the CSC arrays (KLUmatrixAp/Ai/Ax) are populated only by the	accepted
R39_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2042	 * reorder/factor conversion (SMPreorder/SMPluFac KLU branches), so the	accepted
R40_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2043	 * pre-factor CSC is uninitialized at the snapshot site, and the	accepted
R41_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2044	 * post-conversion external identity passes through node collapsing	accepted
R42_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2045	 * (KLUmatrixNodeCollapsingNewToOld). The post-solve solution vector is	accepted
R43_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2046	 * available in RHS in both modes (the effective SMPsolve writes the	accepted
R44_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2047	 * solution back into RHS). ---- */	accepted
R45_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2048		accepted
R46_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2049	#define MNA_SNAP_OK        0	accepted
R47_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2050	#define MNA_SNAP_ARG       1	accepted
R48_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2051	#define MNA_SNAP_BACKEND   2	accepted
R49_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2052	#define MNA_SNAP_PHASE     3	accepted
R50_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2053	#define MNA_SNAP_UNSUP     4	accepted
R51_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2054	#define MNA_SNAP_STRUCT    5	accepted
R52_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2055	#define MNA_SNAP_RANGE     6	accepted
R53_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2056	#define MNA_SNAP_PARTIAL   7	accepted
R54_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2057	#define MNA_SNAP_ABORT     8	accepted
R55_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2058		accepted
R56_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2059	static long long	accepted
R57_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2060	SMPsnapshotMNA_emit_vector (double *RHS, int size, const char *tag,	accepted
R58_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2061	                            long id, const char *phase)	accepted
R59_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2062	{	accepted
R60_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2063	    long long observed = 0;	accepted
R61_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2064	    int I;	accepted
R62_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2065		accepted
R63_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2066	    for (I = 1; I <= size; I++) {	accepted
R64_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2067	        /* every index 1..size is structurally valid; non-finite values are	accepted
R65_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2068	         * preserved with %a and an explicit finite=0/1 flag */	accepted
R66_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2069	        fprintf (stderr, "[MNA_SNAPSHOT_%s] id=%ld phase=%s index=%d value=%a finite=%d\\n",	accepted
R67_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2070	                 tag, id, phase, I, RHS [I], isfinite (RHS [I]) ? 1 : 0);	accepted
R68_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2071	        observed++;	accepted
R69_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2072	    }	accepted
R70_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2073	    return observed;	accepted
R71_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2074	}	accepted
R72_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2075		accepted
R73_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2076	static int	accepted
R74_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2077	SMPsnapshotMNA_sparse (SMPmatrix *Matrix, double *RHS, int size,	accepted
R75_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2078	                       long id, int tnode, int iterno, double ckt_time,	accepted
R76_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2079	                       long ckt_mode, int backend_flag, const char *phase,	accepted
R77_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2080	                       long long *entries_expected, long long *entries_observed,	accepted
R78_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2081	                       long long *vector_observed)	accepted
R79_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2082	{	accepted
R80_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2083	    MatrixPtr M = Matrix->SPmatrix;	accepted
R81_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2084	    ElementPtr pElement;	accepted
R82_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2085	    int I, ext_row, ext_col;	accepted
R83_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2086	    int guards = 0;	accepted
R84_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2087		accepted
R85_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2088	    *entries_expected = 0;	accepted
R86_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2089	    *entries_observed = 0;	accepted
R87_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2090	    *vector_observed = 0;	accepted
R88_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2091	    if (M == NULL || M->FirstInCol == NULL || M->IntToExtRowMap == NULL ||	accepted
R89_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2092	        M->IntToExtColMap == NULL) {	accepted
R90_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2093	        fprintf (stderr, "[MNA_SNAPSHOT_GUARD] id=%ld tnode=%d iterno=%d time=%a mode=%ld backend=%d phase=%s reason=sparse_structure_maps_unavailable\\n",	accepted
R91_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2094	                 id, tnode, iterno, ckt_time, ckt_mode, backend_flag, phase);	accepted
R92_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2095	        return MNA_SNAP_STRUCT;	accepted
R93_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2096	    }	accepted
R94_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2097	    if (strcmp (phase, "prefactor") == 0) {	accepted
R95_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2098	        /* pass 1: read-only validation/count over all safely traversable	accepted
R96_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2099	         * FirstInCol/NextInCol chains. entries_expected is the EXACT full	accepted
R97_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2100	         * stored-entry count even when a range defect exists; the internal	accepted
R98_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2101	         * range check precedes any map indexing, so an invalid position is	accepted
R99_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2102	         * never indexed. Range guards are recorded and counted. */	accepted
R100_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2103	        for (I = 1; I <= M->Size; I++) {	accepted
R101_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2104	            for (pElement = M->FirstInCol [I]; pElement != NULL;	accepted
R102_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2105	                 pElement = pElement->NextInCol) {	accepted
R103_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2106	                (*entries_expected)++;	accepted
R104_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2107	                if (pElement->Row < 1 || pElement->Row > M->Size ||	accepted
R105_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2108	                    I < 1 || I > M->Size) {	accepted
R106_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2109	                    fprintf (stderr, "[MNA_SNAPSHOT_GUARD] id=%ld tnode=%d iterno=%d time=%a mode=%ld backend=%d phase=%s reason=internal_range entry=%lld row=%d col=%d\\n",	accepted
R107_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2110	                             id, tnode, iterno, ckt_time, ckt_mode, backend_flag,	accepted
R108_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2111	                             phase, *entries_expected, pElement->Row, I);	accepted
R109_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2112	                    guards++;	accepted
R110_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2113	                    continue;	accepted
R111_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2114	                }	accepted
R112_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2115	                ext_row = M->IntToExtRowMap [pElement->Row];	accepted
R113_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2116	                ext_col = M->IntToExtColMap [I];	accepted
R114_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2117	                if (ext_row < 1 || ext_row > size || ext_col < 1 ||	accepted
R115_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2118	                    ext_col > size) {	accepted
R116_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2119	                    fprintf (stderr, "[MNA_SNAPSHOT_GUARD] id=%ld tnode=%d iterno=%d time=%a mode=%ld backend=%d phase=%s reason=external_range entry=%lld ext_row=%d ext_col=%d\\n",	accepted
R117_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2120	                             id, tnode, iterno, ckt_time, ckt_mode, backend_flag,	accepted
R118_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2121	                             phase, *entries_expected, ext_row, ext_col);	accepted
R119_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2122	                    guards++;	accepted
R120_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2123	                    continue;	accepted
R121_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2124	                }	accepted
R122_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2125	            }	accepted
R123_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2126	        }	accepted
R124_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2127	        if (guards != 0) {	accepted
R125_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2128	            /* fail closed: no entry/vector payload; the exact full expected	accepted
R126_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2129	             * count is still reported so truncation is detectable */	accepted
R127_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2130	            return MNA_SNAP_RANGE;	accepted
R128_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2131	        }	accepted
R129_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2132	        /* pass 2: emit pass — only after a clean validation pass */	accepted
R130_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2133	        for (I = 1; I <= M->Size; I++) {	accepted
R131_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2134	            for (pElement = M->FirstInCol [I]; pElement != NULL;	accepted
R132_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2135	                 pElement = pElement->NextInCol) {	accepted
R133_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2136	                ext_row = M->IntToExtRowMap [pElement->Row];	accepted
R134_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2137	                ext_col = M->IntToExtColMap [I];	accepted
R135_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2138	                fprintf (stderr, "[MNA_SNAPSHOT_ENTRY] id=%ld phase=%s row=%d col=%d value=%a finite=%d\\n",	accepted
R136_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2139	                         id, phase, ext_row, ext_col, pElement->Real,	accepted
R137_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2140	                         isfinite (pElement->Real) ? 1 : 0);	accepted
R138_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2141	                (*entries_observed)++;	accepted
R139_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2142	            }	accepted
R140_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2143	        }	accepted
R141_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2144	        *vector_observed = SMPsnapshotMNA_emit_vector (RHS, size, "RHS", id, phase);	accepted
R142_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2145	    } else {	accepted
R143_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2146	        /* postsolve: the solution vector, same external identity */	accepted
R144_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2147	        *vector_observed = SMPsnapshotMNA_emit_vector (RHS, size, "SOL", id, phase);	accepted
R145_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2148	    }	accepted
R146_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2149	    return MNA_SNAP_OK;	accepted
R147_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2150	}	accepted
R148_src_maths_KLU_klusmp.c	src/maths/KLU/klusmp.c	@@ -2007,3 +2007,209 @@	add		2151		accepted
